nodeID,dki_fa_L_OR_mean,dki_fa_L_OR_low_CI,dki_fa_L_OR_high_CI,dki_fa_L_OR_low_IQR,dki_fa_L_OR_high_IQR,dki_md_L_OR_mean,dki_md_L_OR_low_CI,dki_md_L_OR_high_CI,dki_md_L_OR_low_IQR,dki_md_L_OR_high_IQR,dki_mk_L_OR_mean,dki_mk_L_OR_low_CI,dki_mk_L_OR_high_CI,dki_mk_L_OR_low_IQR,dki_mk_L_OR_high_IQR,dki_fa_R_OR_mean,dki_fa_R_OR_low_CI,dki_fa_R_OR_high_CI,dki_fa_R_OR_low_IQR,dki_fa_R_OR_high_IQR,dki_md_R_OR_mean,dki_md_R_OR_low_CI,dki_md_R_OR_high_CI,dki_md_R_OR_low_IQR,dki_md_R_OR_high_IQR,dki_mk_R_OR_mean,dki_mk_R_OR_low_CI,dki_mk_R_OR_high_CI,dki_mk_R_OR_low_IQR,dki_mk_R_OR_high_IQR,dki_fa_CST_L_mean,dki_fa_CST_L_low_CI,dki_fa_CST_L_high_CI,dki_fa_CST_L_low_IQR,dki_fa_CST_L_high_IQR,dki_md_CST_L_mean,dki_md_CST_L_low_CI,dki_md_CST_L_high_CI,dki_md_CST_L_low_IQR,dki_md_CST_L_high_IQR,dki_mk_CST_L_mean,dki_mk_CST_L_low_CI,dki_mk_CST_L_high_CI,dki_mk_CST_L_low_IQR,dki_mk_CST_L_high_IQR,dki_fa_CST_R_mean,dki_fa_CST_R_low_CI,dki_fa_CST_R_high_CI,dki_fa_CST_R_low_IQR,dki_fa_CST_R_high_IQR,dki_md_CST_R_mean,dki_md_CST_R_low_CI,dki_md_CST_R_high_CI,dki_md_CST_R_low_IQR,dki_md_CST_R_high_IQR,dki_mk_CST_R_mean,dki_mk_CST_R_low_CI,dki_mk_CST_R_high_CI,dki_mk_CST_R_low_IQR,dki_mk_CST_R_high_IQR,dki_fa_UNC_L_mean,dki_fa_UNC_L_low_CI,dki_fa_UNC_L_high_CI,dki_fa_UNC_L_low_IQR,dki_fa_UNC_L_high_IQR,dki_md_UNC_L_mean,dki_md_UNC_L_low_CI,dki_md_UNC_L_high_CI,dki_md_UNC_L_low_IQR,dki_md_UNC_L_high_IQR,dki_mk_UNC_L_mean,dki_mk_UNC_L_low_CI,dki_mk_UNC_L_high_CI,dki_mk_UNC_L_low_IQR,dki_mk_UNC_L_high_IQR,dki_fa_UNC_R_mean,dki_fa_UNC_R_low_CI,dki_fa_UNC_R_high_CI,dki_fa_UNC_R_low_IQR,dki_fa_UNC_R_high_IQR,dki_md_UNC_R_mean,dki_md_UNC_R_low_CI,dki_md_UNC_R_high_CI,dki_md_UNC_R_low_IQR,dki_md_UNC_R_high_IQR,dki_mk_UNC_R_mean,dki_mk_UNC_R_low_CI,dki_mk_UNC_R_high_CI,dki_mk_UNC_R_low_IQR,dki_mk_UNC_R_high_IQR
21.0,0.012130131313364474,0.0013110754874451462,0.023011258629946546,-0.08288652308840529,0.10382001434312346,-0.019579505371027022,-0.028794725459394332,-0.010116003270604615,-0.10848972153779149,0.06396681252759882,-0.01966063996846564,-0.03395393250143106,-0.006341959165384426,-0.12020257607437095,0.09713934988720938,0.0066976681659599874,-0.004227231441121258,0.01718403756804812,-0.08877771550096174,0.1002541662603554,-0.015053394658312657,-0.025352591797811044,-0.004579851509945164,-0.10449097775328706,0.07887021404380005,0.003482422369805202,-0.010470360386932758,0.016769118711279767,-0.11052100775003225,0.12117927580189927,0.000533177251923294,-0.009992034382102617,0.011501561954090992,-0.1123740511756895,0.10636785094829967,0.00045893579979588056,-0.009486715880127691,0.00999388103586947,-0.09039686250161298,0.09535046625733484,-0.00046202870454506147,-0.014334266756247818,0.013404682196759613,-0.10989265589516185,0.11579557295252424,-0.018549262312604738,-0.028808136409421786,-0.008166743545823939,-0.12571899720648835,0.08164701558345037,-0.004146116966143843,-0.01389966806553004,0.005412342061186234,-0.09576529396602515,0.0864266124337662,0.0018155459863609888,-0.014426294740969601,0.016932621333264966,-0.13802347800642206,0.1350556200399965,-0.023297822489501165,-0.034088216723152966,-0.01220960507941491,-0.13656154880768198,0.0811329868059127,0.010987078487390643,0.003465128120861756,0.018586928594649794,-0.06095680823994355,0.0843515843222839,0.03006051793053834,0.015987829269212894,0.04401191772821421,-0.08811752846645646,0.1434414847588408,-0.02241847300755847,-0.031666059863253423,-0.01349172912892555,-0.10639867327982042,0.06452561188471666,0.013275053488549907,0.007273259405916197,0.01946591158911486,-0.04311690340317809,0.07014059659454729,0.022949952431182658,0.011851386384920769,0.03435036681413828,-0.06986330103984259,0.11958335877427415
22.0,0.01200627172919569,0.001421029073064031,0.022940204632592814,-0.08546923365159699,0.09925382505080313,-0.01746585578395351,-0.027020490042287935,-0.007923301028202177,-0.10397809706798342,0.05912130855338239,-0.020692016664469372,-0.03394913413713752,-0.007714885143173252,-0.1078042962384511,0.08485705306312581,0.0054921487393968715,-0.004899500012567619,0.015485571945391071,-0.08775460673991993,0.09579209020382926,-0.01370921773618844,-0.023864844747078336,-0.0030064875828088775,-0.10355990116268848,0.08007263934991261,-0.00042090036131905956,-0.013847470066014795,0.013302776296437736,-0.1101700263500296,0.10874628194615168,0.0001246880915720468,-0.010366549179719632,0.011065240333313776,-0.1076701091259832,0.10823246178070067,0.0024218165827505143,-0.006870609243629553,0.01235744700219625,-0.08910397840721923,0.09481798718106257,0.0018126758015415193,-0.012624226327421552,0.015943935155495234,-0.11472561350544522,0.12557809113275897,-0.020987660841958737,-0.03148399080709148,-0.010909748580900783,-0.12152828943652384,0.07775390135931483,-0.0012319484521895756,-0.010361901528216373,0.007945501027643225,-0.08924897813723644,0.08702655865963176,0.008334136198451959,-0.007536731098172891,0.024659223546131686,-0.13453742707821317,0.14417236115578574,-0.02351199845013114,-0.0343904667333869,-0.013041965077283155,-0.1365165091030695,0.08369673774110492,0.010919148324498576,0.00364507080303285,0.018178808889744352,-0.059573558782428065,0.08186564435683333,0.030491148887374073,0.01700022021016831,0.04450947378196964,-0.08727444205753264,0.143037389470376,-0.021972123780720554,-0.03129754882838023,-0.01318826695794477,-0.10796287444742593,0.06471439271346283,0.013342508904900347,0.0073208416660118176,0.019473649932220127,-0.0414220979261786,0.06869661269619438,0.022793450409984088,0.011837954825947366,0.0337726332537901,-0.06709447341315594,0.11759693746291304
23.0,0.011386145673734778,0.0009115525488567603,0.022686252716908276,-0.07831020880627328,0.10238071804308467,-0.013984804740009618,-0.02342504417592867,-0.004431325527865215,-0.0980442028774417,0.06066937157541888,-0.02120605828623681,-0.03350264330756882,-0.008717950928118471,-0.10233498337682193,0.07778281976583815,0.003780880728624082,-0.005857003551971761,0.013866557822707572,-0.09051556845387813,0.09164752575369904,-0.01291677129944535,-0.022882785095123773,-0.0026730012153646713,-0.09912822808135553,0.07541003440298305,-0.0027168043439507687,-0.01565262704352088,0.010130870571570649,-0.10478311871391167,0.10183445816454825,-0.0005728663166478879,-0.011297433288371454,0.010258309451032779,-0.1113749107336703,0.09811081408516782,0.004150191448643479,-0.005058984507028442,0.013338479703147966,-0.08283060975263411,0.08993427002162438,0.00226355705950017,-0.01329940252340856,0.016967618697661703,-0.11478231545819695,0.13192178962392861,-0.022696961964161638,-0.03325309469268094,-0.012556527994296436,-0.12507761862288547,0.07267695732959845,0.0011925587624091105,-0.008028922024289469,0.010263672711414793,-0.08359213374307606,0.085933146825296,0.010865915196001889,-0.005397369220048388,0.027416319315011185,-0.13565413365286433,0.15368662177091225,-0.023680995380207442,-0.034808862199334475,-0.012713747627721607,-0.13220519401487862,0.08865707401169576,0.010556753432808635,0.003406818003647862,0.01775282418105186,-0.060594861045669884,0.07882550434240254,0.030856139240657512,0.01754721786134027,0.04468334213026291,-0.08919816490927732,0.14194882754076038,-0.0213990944536058,-0.030471804959802774,-0.012403785720207257,-0.10838635227322933,0.06373618068242706,0.013412751928872799,0.007490726957744162,0.01937773265572024,-0.04131083626703803,0.06702011877760719,0.022638825429998358,0.011803798851821175,0.033672065598078636,-0.06759754151662158,0.1142158651318766
24.0,0.011251468659996907,0.0010710312862187835,0.022509955005473106,-0.07688740599213864,0.09997197814626786,-0.012238640636439717,-0.022177469349297173,-0.003046219572801755,-0.09689731297283913,0.06811451993105345,-0.022354319723677938,-0.034652099361166096,-0.00996033236080573,-0.09893588348740052,0.08248851963334367,0.004064730913023086,-0.005514042107488471,0.013811292062103403,-0.07859290066152362,0.08842770216222906,-0.011573671115939722,-0.021351898579100165,-0.0015859781755529628,-0.09951757631565548,0.07360747455010282,-0.0074145479605507445,-0.01947393371084007,0.004523755972194709,-0.10192197445738381,0.08944461865761079,-0.0017394059879488114,-0.012657369560575124,0.009371673122442163,-0.11645155423732687,0.10494336033403229,0.005623602252355847,-0.003618161149382997,0.014395104110570463,-0.0791360854403634,0.09073181642277493,0.0045452923157925165,-0.012000556579848238,0.019654944457075815,-0.11871074580146629,0.15071788278465204,-0.02422156573465148,-0.03499601589996593,-0.013930643424578792,-0.12513424515301735,0.07885136062163947,0.0035065944691318883,-0.005684770743253347,0.012414743186366206,-0.08136828224332147,0.09249940119237562,0.011581189483733281,-0.005137524875032298,0.028379496829849585,-0.14059645767383883,0.16423671130131895,-0.023873986867743814,-0.034801398526639424,-0.013021060293376146,-0.13523702430781365,0.0880009270649152,0.010692312935791563,0.003803503859905967,0.01767319614595374,-0.05944814118251955,0.07808571498405632,0.031494984320332584,0.018146442316019817,0.045093472501205566,-0.08479211110185467,0.14389548506156574,-0.020942001125530827,-0.030084959903090795,-0.011468269316161394,-0.11075312918901352,0.06559916686016205,0.013708923655413421,0.00791132442267244,0.019521432507431144,-0.04015093686881003,0.0676954560585611,0.022508156349821874,0.011865423287175743,0.033170371303790254,-0.065704615390878,0.10872740732447637
25.0,0.010567569173552794,0.0008031183084357834,0.021697488309799378,-0.08080983466335234,0.09549256880950577,-0.011013825696615373,-0.020810840824084343,-0.0015141074991973243,-0.0955454603077523,0.07318752054797764,-0.02261720052845198,-0.03465145130289804,-0.010832359956930398,-0.10156026045616733,0.07491309074113824,0.0030578549866524477,-0.006381749138228691,0.01256526450484733,-0.0774648619311943,0.09192699313366806,-0.009482859762456577,-0.019243570905114808,0.0009266227992641216,-0.10739233178069188,0.07577484159465642,-0.01333520085074716,-0.025323527761138498,-0.0015951994582675743,-0.10267760447026442,0.07785495755436907,-0.0023749492783539613,-0.013328648123668711,0.008617017088573759,-0.11382380874301921,0.10620714189818498,0.006170840236655187,-0.0031426461421420124,0.015454907877956508,-0.07649291898807972,0.09282133046474077,0.008404968586997907,-0.007383482585514189,0.023582047781175328,-0.12646645025467806,0.15443943978447833,-0.025652954445102072,-0.03610388233263489,-0.015271246032028547,-0.12345601063941755,0.08158049602712365,0.006403743730846762,-0.0024564453769734783,0.016015235711129058,-0.08270835965853916,0.09185501625946418,0.013307926387048129,-0.0034390897258036656,0.03017860927563405,-0.14446838938703474,0.162117086035085,-0.024330131716308278,-0.03532081263971334,-0.013218996276040501,-0.13654033223574258,0.09068128243789235,0.011038780509756582,0.004285954644313398,0.01823085877179148,-0.058219055378865195,0.07706353714882636,0.032026796757713256,0.01916047183628147,0.04563597112366955,-0.08770550391704506,0.14591072318347614,-0.02056386953305879,-0.02988124695487206,-0.011347321228431084,-0.11218068243444133,0.06855669672135016,0.01367314324950246,0.008029690527435915,0.019477880430459376,-0.039303029551712845,0.06693737911669081,0.022599776057521063,0.012672422576310821,0.03323277701835635,-0.06364556707855618,0.10962967404053764
26.0,0.010086320666370038,0.00010795295681295466,0.020713875066795343,-0.0765174508711544,0.09586755450216813,-0.009236672822862493,-0.018602986472261437,0.0006002750498366146,-0.09697866219762918,0.07696856394557729,-0.023103196585462078,-0.0351146726587537,-0.011501738555143266,-0.10703272693927192,0.07322303664378887,0.0005389291372816412,-0.008955045410993043,0.009741808155781745,-0.07572190986950059,0.0867887945728637,-0.005350294661334977,-0.015540987786538174,0.004371630082395531,-0.09962255864119203,0.08251623161963292,-0.017013174415529315,-0.028740468939609774,-0.0051841366266215105,-0.11205593656551871,0.07194251125959797,-0.0019498860789079022,-0.013035540839949322,0.008974592085943804,-0.11529292112711065,0.1039669795523126,0.0046377787904638475,-0.004683883271111109,0.014110785755223757,-0.08115603157371153,0.09772599523446643,0.009874732539405694,-0.005861068719477416,0.025541523624139355,-0.13073270965227946,0.1606055577989478,-0.02711933254929463,-0.037513700027600204,-0.01724785621345735,-0.12371103945614606,0.07578036848279343,0.009668339306433979,0.0004147411351097807,0.019109769105163363,-0.07983877250609521,0.09293430191944187,0.015117967285276469,-0.0024591213140869954,0.032025430606979495,-0.15077994429470398,0.17079161229697187,-0.024685992759531372,-0.036102706034557036,-0.013716027536297526,-0.14118995493319297,0.09090953815725536,0.011224364297834404,0.00451213874034712,0.018018822625013538,-0.05853215616099201,0.07542752922281246,0.03255662692938694,0.019454200633699077,0.046057820610117574,-0.0905802871857595,0.1437585942722697,-0.020330575159966533,-0.029692251987307034,-0.010830933840479529,-0.11055246166161764,0.07007477094422926,0.013665371845524747,0.007930264209420177,0.019360940244903292,-0.0404538686237492,0.06739377486379539,0.0226135002254326,0.012732885235814869,0.03322394460328884,-0.06317843731744247,0.10692077032836239
27.0,0.00996146140508346,0.000207147846345107,0.02013122880211407,-0.07486514445970759,0.09444671318286767,-0.008372503603787383,-0.017983162228924363,0.001592707241676232,-0.09804626498389474,0.08094387718783602,-0.0241800473646149,-0.035950041211013285,-0.012630577536050782,-0.10766832036619817,0.07147416920283078,-0.0008453901899144089,-0.010811991769514797,0.008596579930194014,-0.07775411701749853,0.08336508522977032,-0.002357477466492232,-0.01277673656128704,0.008286353029402095,-0.09736122777698103,0.08952176555117966,-0.018796842400185584,-0.031117187060956352,-0.006416921889251117,-0.11605781266021631,0.07541772226155333,-0.001361417311368589,-0.01197725909280433,0.009504090324764184,-0.11219655851897455,0.09857213676190564,0.002108458838578434,-0.007724540885294053,0.011485308102078146,-0.08067078129612396,0.0938511561023053,0.011690655257416036,-0.004818110342042775,0.027874833780920465,-0.14485116724846414,0.164907155433705,-0.02746592828556859,-0.03724322030265939,-0.017457157889902906,-0.11944179480318261,0.0721612690680079,0.011448803396627587,0.0019462446053548894,0.02108466044591908,-0.0798692184979184,0.09718362198391325,0.015337843569584973,-0.0017366927123962255,0.03255744476871319,-0.15865342291978,0.17944139495389405,-0.025140990548561237,-0.03641022968054552,-0.013637798322002974,-0.14050315909339484,0.089943695801115,0.011078347455126793,0.004207024910091601,0.0177372127906897,-0.0572584677204498,0.0731398692854723,0.03287962202723216,0.01960469912103795,0.04634729882234635,-0.08889435585537189,0.1446030001233787,-0.020348734203084553,-0.029901505201792255,-0.010762594412934026,-0.11320663606902814,0.07077340574513687,0.013645777378569776,0.007976201673514606,0.019309400686550543,-0.03799157653496832,0.0654197666046194,0.022458711627892376,0.012639646348569232,0.03252865116636228,-0.060515745980250765,0.10801585426176308
28.0,0.01051311187409457,0.00045218060036100375,0.020985628635440963,-0.07706793685454805,0.09638192652437555,-0.009130516997222862,-0.01881028277283653,0.0005728606586678673,-0.10472216872643232,0.07923187482647905,-0.026405520740770714,-0.03803276437090917,-0.014308615323505563,-0.1205411702499606,0.0733639288726586,-0.002344937859111764,-0.012401437603613006,0.0072737014389780376,-0.08134298141681012,0.08694800198288136,0.0019875020296888962,-0.008921451916757013,0.013023064760000057,-0.0973460075120929,0.10093788795301584,-0.020368927897216428,-0.032907495818359146,-0.0074897496622503956,-0.11357349351618876,0.07346493635841178,-0.000502746158216554,-0.010652983847961333,0.009884711088283283,-0.10697730725338771,0.0955936767027074,-0.00023154001626837802,-0.00958767340052266,0.009416625595808003,-0.0895012661158449,0.08566447676621558,0.017038606047886002,0.0005372330962543726,0.03380568220501428,-0.1459315603593004,0.16600155058005558,-0.02612831343886049,-0.035737068667153836,-0.01658546418134129,-0.11622032768919267,0.06810747756261022,0.011158951918502299,0.0016227109642649898,0.020663336187674488,-0.08318283719744896,0.09977543343554779,0.014901292232733157,-0.00259399619601893,0.033062925325800005,-0.16407397990194436,0.19162806992221193,-0.025715750549549336,-0.03726719233818594,-0.014189260932886317,-0.14004790140401066,0.09033740043664772,0.010957228761109713,0.0041489257377493784,0.017567964086758463,-0.05613234111515949,0.07446166855534561,0.03325178295289375,0.019932972092697548,0.046392267880087414,-0.0897193601724546,0.1454241594128191,-0.020318320556761547,-0.030203940855531096,-0.0104085573382858,-0.11766689486688045,0.06937740068473501,0.01354201454931058,0.007957466054489363,0.01911427466877785,-0.037016677810267726,0.06436810348454942,0.02224363034948742,0.012415760485246442,0.03217043884413023,-0.05959669615242627,0.10693260691766916
29.0,0.010807664503759081,0.0005610561501989985,0.021192747902160334,-0.08376030002133543,0.09580900032520033,-0.009016634198859065,-0.0186130067915427,0.0005877779805667896,-0.10630832713607356,0.0787735544613895,-0.028337792034926503,-0.04090637400677724,-0.016412212315841335,-0.12724350179837435,0.07691993708501156,-0.0031185827255110704,-0.0133642224706411,0.007016265469360499,-0.0863442189211018,0.0869664996581462,0.005796951377674035,-0.005172986875825776,0.017238182419407604,-0.09836946693916188,0.09993089150301779,-0.023328808282401952,-0.03562256259484271,-0.010831733218451154,-0.1185282404496031,0.06860627562481227,0.00018097129679528164,-0.009537209473137258,0.009870316419770249,-0.09310391731104296,0.08502545221318855,-0.001179524017375089,-0.010323784234272868,0.007975598410994943,-0.08320807325489366,0.08546821409272343,0.022888026462278308,0.005385033326281674,0.03947501775616696,-0.1434690037798114,0.18314996150155324,-0.023561949266384666,-0.03264295594554501,-0.014505025639814794,-0.10705812023143442,0.06110302664500915,0.009995374378415925,0.0005338525716404253,0.019514335325721503,-0.08410312704448016,0.09633780419435684,0.016417410814439426,-0.0023573854091146827,0.03519193256893054,-0.17011233799053718,0.19945152058534277,-0.026089240560779842,-0.03770662439898463,-0.01441235676438615,-0.13957236025319542,0.09102194773733215,0.011115812403293124,0.004499882871226841,0.01787258932788218,-0.0557833859873049,0.07393576696057638,0.03374373205400289,0.020762486873454496,0.04702170705073584,-0.0907426613475271,0.14518488371527752,-0.020317781503737285,-0.030093782368728197,-0.010308048356429853,-0.11715521204495889,0.0710148739322379,0.013416633781195375,0.00784970954637748,0.018793089775679124,-0.03666966605407123,0.0630133352520352,0.02197799876168505,0.0122982481825234,0.031985442126197056,-0.0618485401736157,0.10589954442668563
30.0,0.010566310752243645,5.5960295981051266e-05,0.021024686950532827,-0.08945839192458832,0.1025685592667682,-0.007672789141901306,-0.017562082884675496,0.001559647169360311,-0.10304865508200821,0.08425186432728449,-0.032070971675773725,-0.04551575175738561,-0.019366894766598756,-0.13900944458080133,0.07350488124263405,-0.0029430213263715037,-0.013646089261603166,0.007258704390773835,-0.09938604816871847,0.09006063073933192,0.007124184463095998,-0.003929516789988783,0.018805937952825768,-0.10276218435608662,0.10532559300963915,-0.030132457896809118,-0.042965186174640194,-0.01746173974376905,-0.12768136328527566,0.06249438442909112,4.494909323898961e-05,-0.00874207675526404,0.008678318077856264,-0.08004883972562918,0.07797086199766246,-0.0006331489569282669,-0.009448685795950536,0.008083823450320715,-0.08165692120305285,0.07971933096373536,0.028221878153300836,0.010782796835163113,0.046248995417393884,-0.14509584210711823,0.1994512141292063,-0.02019955490655657,-0.028954237847286818,-0.011850155793619744,-0.10068540394416339,0.058671489365696515,0.009072535915771677,-8.647284610164383e-05,0.018638662827300076,-0.08311921867988535,0.09032757840141065,0.02034000289970238,0.0003943993076580894,0.03968118483186601,-0.17577623166887665,0.20124665443472495,-0.02635450233359264,-0.03848496995696514,-0.014582879505214676,-0.14394086292829,0.09234160378357265,0.011035885455567324,0.004287396862185223,0.01772216565517511,-0.0564603676879811,0.07348508868774253,0.033863819306402566,0.02060412255689867,0.04687352501780082,-0.09099455233460421,0.14625888173989618,-0.020364316515714267,-0.030351577410753516,-0.010476089358657379,-0.11828862445307144,0.07447849080582711,0.013094586153956067,0.007619225624299758,0.01840159950579293,-0.03760617862585769,0.060804631759290316,0.02156233313201356,0.012038049026465408,0.031556993589391874,-0.059709861023330035,0.10443489660343722
